patriot_sku,name,price_day,competitor,competitor_price,diff_abs,diff_pct,alert_flag
SKU0072,Genie 1930 2 Man ...,165.0,United Rentals,,,,False
SKU0072,Genie 1930 2 Man ...,165.0,Farmington Rental,,,,False
SKU0072,Genie 1930 2 Man ...,165.0,Mike's Rentals,,,,False
SKU0072,Genie 1930 2 Man ...,165.0,Fabick Rents,,,,False
SKU0073,Genie 1930 Two Ma...,165.0,Sunbelt Rentals,,,,False
SKU0073,Genie 1930 Two Ma...,165.0,United Rentals,,,,False
SKU0073,Genie 1930 Two Ma...,165.0,Farmington Rental,,,,False
SKU0073,Genie 1930 Two Ma...,165.0,Mike's Rentals,,,,False
SKU0073,Genie 1930 Two Ma...,165.0,Fabick Rents,,,,False
SKU0074,Genie 4390 Rough ...,225.0,Sunbelt Rentals,,,,False
SKU0074,Genie 4390 Rough ...,225.0,United Rentals,,,,False
SKU0074,Genie 4390 Rough ...,225.0,Farmington Rental,,,,False
SKU0074,Genie 4390 Rough ...,225.0,Mike's Rentals,,,,False
SKU0074,Genie 4390 Rough ...,225.0,Fabick Rents,,,,False
SKU0075,Genie s-65 Boom L...,325.0,Sunbelt Rentals,,,,False
SKU0075,Genie s-65 Boom L...,325.0,United Rentals,,,,False
SKU0075,Genie s-65 Boom L...,325.0,Farmington Rental,,,,False
SKU0075,Genie s-65 Boom L...,325.0,Mike's Rentals,,,,False
SKU0075,Genie s-65 Boom L...,325.0,Fabick Rents,,,,False
SKU0076,Genie S40 4X4 Boo...,290.0,Sunbelt Rentals,,,,False
SKU0076,Genie S40 4X4 Boo...,290.0,United Rentals,,,,False
SKU0076,Genie S40 4X4 Boo...,290.0,Farmington Rental,,,,False
SKU0076,Genie S40 4X4 Boo...,290.0,Mike's Rentals,,,,False
SKU0076,Genie S40 4X4 Boo...,290.0,Fabick Rents,,,,False
SKU0077,Genie S40 Boom Lift,290.0,Sunbelt Rentals,,,,False
SKU0077,Genie S40 Boom Lift,290.0,United Rentals,,,,False
SKU0077,Genie S40 Boom Lift,290.0,Farmington Rental,,,,False
SKU0077,Genie S40 Boom Lift,290.0,Mike's Rentals,,,,False
